Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,3960,SLZ_200313_09.d,,,,,62.589,423.0069,424.0142,,,,,,,,,Negative,2,3571,,99207,,Find by Molecular Feature,,,,46.5,,,,,
TRUE,45,SLZ_200313_09.d,,,,,0.662,423.0197,424.027,,,,,,,,,Negative,2,8716,,30762,,Find by Molecular Feature,,,,31,,,,,
TRUE,204,SLZ_200313_09.d,,,,,0.801,424.8847,425.892,,,,,,,,,Negative,2,21324,,186470,,Find by Molecular Feature,,,,100,,,,,
TRUE,960,SLZ_200313_09.d,,,,,1.14,424.8855,425.8927,,,,,,,,,Negative,3,7804,,118004,,Find by Molecular Feature,,,,63.4,,,,,
TRUE,3886,SLZ_200313_09.d,,,,,62.523,425.3614,426.3687,,,,,,,,,Negative,2,2787,,28892,,Find by Molecular Feature,,,,49,,,,,
TRUE,4152,SLZ_200313_09.d,,,,,62.932,426.4157,427.423,,,,,,,,,Negative,2,8270,,226973,,Find by Molecular Feature,,,,43.6,,,,,
TRUE,4161,SLZ_200313_09.d,,,,,62.965,426.75,427.7573,,,,,,,,,Negative,3,7102,,131347,,Find by Molecular Feature,,,,48.8,,,,,
TRUE,209,SLZ_200313_09.d,,,,,0.813,427.9929,429.0002,,,,,,,,,Negative,2,3909,,48434,,Find by Molecular Feature,,,,88.6,,,,,
TRUE,95,SLZ_200313_09.d,,,,,0.694,428.8675,429.8748,,,,,,,,,Negative,4,17247,,180412,,Find by Molecular Feature,,,,40.6,,,,,
TRUE,520,SLZ_200313_09.d,,,,,0.986,430.3751,431.3824,,,,,,,,,Negative,2,5320,,40489,,Find by Molecular Feature,,,,66,,,,,
TRUE,504,SLZ_200313_09.d,,,,,0.983,430.7082,431.7155,,,,,,,,,Negative,2,2982,,23704,,Find by Molecular Feature,,,,41.7,,,,,
TRUE,1043,SLZ_200313_09.d,,,,,2.65,430.9434,431.9506,,,,,,,,,Negative,2,34218,,1599664,,Find by Molecular Feature,,,,49.1,,,,,
TRUE,223,SLZ_200313_09.d,,,,,0.846,430.9853,431.9926,,,,,,,,,Negative,4,4149,,48030,,Find by Molecular Feature,,,,35,,,,,
TRUE,3808,SLZ_200313_09.d,,,,,62.286,431.1908,432.1981,,,,,,,,,Negative,3,9076,,270320,,Find by Molecular Feature,,,,35,,,,,
